cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
0,0.99977,1.99954,24.637,0.16001,3.1999,131,B0018
1,0.99889,1.99778,24.36,0.16007,3.1998,130,B0018
2,0.99847,1.99694,24.456,0.1601,3.1997,129,B0018
3,0.99802,1.99604,25.221,0.16013,3.1999,128,B0018
4,0.99673,1.99345,25.153,0.16021,3.1966,127,B0018
5,0.99613,1.99226,25.325,0.16025,3.1968,126,B0018
6,0.99547,1.99093,25.425,0.16029,3.1975,125,B0018
7,0.99474,1.98949,26.228,0.16034,3.1975,124,B0018
8,0.99315,1.98631,26.498,0.16044,3.1955,123,B0018
9,0.99303,1.98607,24.576,0.16045,3.1958,122,B0018
10,0.99199,1.98398,26.848,0.16051,3.1955,121,B0018
11,0.9909,1.9818,26.33,0.16058,3.1961,120,B0018
12,0.99006,1.98012,25.801,0.16064,3.1954,119,B0018
13,0.98949,1.97897,26.41,0.16067,3.1957,118,B0018
14,0.9883,1.97661,25.199,0.16075,3.1945,117,B0018
15,0.98727,1.97454,26.028,0.16081,3.1963,116,B0018
16,0.98723,1.97446,26.387,0.16082,3.1933,115,B0018
17,0.98679,1.97357,25.51,0.16085,3.1934,114,B0018
18,0.98548,1.97096,24.334,0.16093,3.1928,113,B0018
19,0.98517,1.97034,25.409,0.16095,3.194,112,B0018
20,0.9838,1.9676,25.042,0.16104,3.1944,111,B0018
21,0.9827,1.9654,25.683,0.16111,3.1916,110,B0018
22,0.98164,1.96328,25.187,0.16118,3.1911,109,B0018
23,0.98119,1.96238,25.497,0.1612,3.1919,108,B0018
24,0.98119,1.96238,24.301,0.1612,3.1901,107,B0018
25,0.97989,1.95977,24.373,0.16129,3.1896,106,B0018
26,0.97829,1.95658,24.082,0.16139,3.1863,105,B0018
27,0.97829,1.95658,23.199,0.16139,3.1895,104,B0018
28,0.97741,1.95481,23.432,0.16145,3.188,103,B0018
29,0.97656,1.95313,24.356,0.1615,3.1891,102,B0018
30,0.97568,1.95136,22.559,0.16156,3.1878,101,B0018
31,0.97478,1.94955,22.938,0.16161,3.1862,100,B0018
32,0.97421,1.94843,22.428,0.16165,3.187,99,B0018
33,0.97269,1.94539,22.74,0.16175,3.1862,98,B0018
